;file;rule;runtime_profile;runtime_multiprofile;time_gains;time_gains_percent;length_gains;length_gains_percent;num_voters;num_sat;avg_vote_length;avg_vote_length_cat
339;poland_warszawa_2018_stare-wlochy.pb;greedy_welfare;0.02630448341369629;0.021823406219482422;0.004481077194213867;0.17035412266947036;474;0.37829209896249005;1253;779;4.806863527533919;5
340;poland_warszawa_2019_falenica.pb;greedy_welfare;0.0070765018463134766;0.0018699169158935547;0.005206584930419922;0.7357568815066877;512;0.7852760736196319;652;140;3.1855828220858897;3
341;poland_warszawa_2018_grochow-kinowa.pb;greedy_welfare;0.015778303146362305;0.009757757186889648;0.006020545959472656;0.3815711932788347;447;0.5411622276029056;826;379;4.171912832929782;4
342;poland_wroclaw_2018_rejon-nr-11-250.pb;greedy_welfare;0.012305498123168945;5.91278076171875e-05;0.012246370315551758;0.9951950090093581;1950;0.9969325153374233;1956;6;1.0;1
343;poland_lodz_2020_chojny.pb;greedy_welfare;0.08076834678649902;0.014173746109008789;0.06659460067749023;0.8245136037453471;4617;0.8588169642857143;5376;759;2.7526041666666665;3
344;poland_lodz_2022_lagiewniki.pb;greedy_welfare;0.0072901248931884766;0.0006628036499023438;0.006627321243286133;0.9090819897308434;910;0.9276248725790011;981;71;1.5056065239551477;2
345;poland_warszawa_2018_obszar-ii-stara-praga-ze-szmulowizna-z-michalowem.pb;greedy_welfare;0.044310808181762695;0.044242143630981445;6.866455078125e-05;0.0015496117899630457;481;0.31917717319177175;1507;1026;6.2700729927007295;6
346;poland_wroclaw_2017_rejon-nr-10-250.pb;greedy_welfare;0.0920259952545166;0.0002880096435546875;0.09173798561096191;0.9968703447025143;6047;0.9975255691191026;6062;15;1.0;1
347;poland_warszawa_2018_praga-poludnie.pb;greedy_welfare;0.33346033096313477;0.36156129837036133;-0.028100967407226562;-0.08427079564775353;2464;0.28325094838487186;8699;6235;6.414185538567652;6
348;poland_warszawa_2018_srodmiescie.pb;greedy_welfare;0.1282813549041748;0.12575125694274902;0.0025300979614257812;0.019723037407234578;1254;0.32835820895522383;3819;2565;5.0864100549882165;5
349;poland_warszawa_2018_ulrychow-odolany.pb;greedy_welfare;0.07821822166442871;0.08010029792785645;-0.0018820762634277344;-0.02406186465734561;876;0.31544832553114877;2777;1901;6.887288440763414;7
350;poland_warszawa_2017_chomiczowka.pb;greedy_welfare;0.008930444717407227;0.0036666393280029297;0.005263805389404297;0.5894225378433937;493;0.681881051175657;723;230;4.8796680497925315;5
351;poland_warszawa_2018_anin.pb;greedy_welfare;0.010817289352416992;0.008241653442382812;0.0025756359100341797;0.23810363448017458;265;0.45299145299145294;585;320;4.977777777777778;5
352;poland_warszawa_2019_bielany.pb;greedy_welfare;0.2232046127319336;0.21799278259277344;0.005211830139160156;0.023350010895247575;2318;0.37789370720573856;6134;3816;6.60172807303554;7
353;poland_lodz_2020_dolina-lodki.pb;greedy_welfare;0.0029277801513671875;9.34600830078125e-05;0.002834320068359375;0.9680781758957655;636;0.9769585253456221;651;15;1.1643625192012288;1
