file;rule;profile_type;runtime;num_projects;num_projects_cat;num_voters;num_voters_cat;avg_vote_length;avg_vote_length_cat
poland_lodz_2020_karolew-retkinia-wschod.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.10651111602783203;26;30;1353;1000;3.845528455284553;4
poland_lodz_2020_piastow-kurak.pb;mes_cost_res;ApprovalProfile;0.06751203536987305;8;10;2079;2000;1.7532467532467533;2
poland_lodz_2020_piastow-kurak.pb;mes_cost_res;ApprovalMultiProfile;0.005999565124511719;8;10;132;0;3.265151515151515;3
poland_lodz_2020_olechow-janow.pb;greed_cost_res;ApprovalProfile;0.09751272201538086;12;10;3313;3000;2.292785994566858;2
poland_lodz_2020_olechow-janow.pb;greed_cost_res;ApprovalMultiProfile;0.020000219345092773;12;10;593;1000;3.8836424957841484;4
poland_lodz_2020_piastow-kurak.pb;maxwelfare_cost_res;ApprovalProfile;0.12851214408874512;8;10;2079;2000;1.7532467532467533;2
poland_lodz_2020_piastow-kurak.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.01100015640258789;8;10;132;0;3.265151515151515;3
poland_lodz_2020_olechow-janow.pb;seqphragmen_res;ApprovalProfile;0.09251213073730469;12;10;3313;3000;2.292785994566858;2
poland_lodz_2020_olechow-janow.pb;seqphragmen_res;ApprovalMultiProfile;0.04651141166687012;12;10;593;1000;3.8836424957841484;4
poland_lodz_2020_rokicie.pb;greed_cost_res;ApprovalProfile;0.047057151794433594;11;10;1960;2000;2.378061224489796;2
poland_lodz_2020_rokicie.pb;greed_cost_res;ApprovalMultiProfile;0.009000062942504883;11;10;317;0;3.5615141955835963;4
poland_lodz_2020_olechow-janow.pb;maxwelfare_cost_res;ApprovalProfile;0.1640610694885254;12;10;3313;3000;2.292785994566858;2
poland_lodz_2020_olechow-janow.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.030508995056152344;12;10;593;1000;3.8836424957841484;4
poland_lodz_2020_retkinia-zachod-smulsko.pb;greed_cost_res;ApprovalProfile;0.09105944633483887;13;10;2650;3000;2.66188679245283;3
poland_lodz_2020_retkinia-zachod-smulsko.pb;greed_cost_res;ApprovalMultiProfile;0.026000261306762695;13;10;540;1000;3.8314814814814815;4
poland_lodz_2020_radogoszcz.pb;greed_cost_res;ApprovalProfile;0.12653589248657227;17;20;3610;4000;3.092797783933518;3
poland_lodz_2020_radogoszcz.pb;greed_cost_res;ApprovalMultiProfile;0.050524234771728516;17;20;1091;1000;4.085242896425298;4
poland_lodz_2020_olechow-janow.pb;mes_cost_res;ApprovalProfile;0.17657184600830078;12;10;3313;3000;2.292785994566858;2
poland_lodz_2020_olechow-janow.pb;mes_cost_res;ApprovalMultiProfile;0.04100656509399414;12;10;593;1000;3.8836424957841484;4
poland_lodz_2020_rokicie.pb;seqphragmen_res;ApprovalProfile;0.04953622817993164;11;10;1960;2000;2.378061224489796;2
poland_lodz_2020_rokicie.pb;seqphragmen_res;ApprovalMultiProfile;0.02300262451171875;11;10;317;0;3.5615141955835963;4
poland_lodz_2020_retkinia-zachod-smulsko.pb;seqphragmen_res;ApprovalProfile;0.0750572681427002;13;10;2650;3000;2.66188679245283;3
